timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1560097780610,91,register form,200,OK,registration-login-actions-logout 1-1,text,true,,54948,375,1,1,http://127.0.0.1:8080/register,90,0,0
1560097780706,68,register GET,200,OK,registration-login-actions-logout 1-1,text,true,,21644,876,1,1,http://127.0.0.1:8080/register,68,0,0
1560097781115,1145,register form,200,OK,registration-login-actions-logout 1-2,text,true,,54970,375,2,2,http://127.0.0.1:8080/register,1144,0,1
1560097780775,1552,register POST - 1  - 1,200,OK,registration-login-actions-logout 1-1,text,true,,56858,2102,2,2,http://127.0.0.1:8080/verification/send,1409,0,0
1560097780775,1410,register POST - 1  - 1-0,302,Found,registration-login-actions-logout 1-1,text,true,,1371,1127,2,2,http://127.0.0.1:8080/register,1409,0,0
1560097782185,142,register POST - 1  - 1-1,200,OK,registration-login-actions-logout 1-1,text,true,,55487,975,2,2,http://127.0.0.1:8080/verification/send,142,0,1
1560097782261,130,register GET,200,OK,registration-login-actions-logout 1-2,text,true,,21642,882,2,2,http://127.0.0.1:8080/register,129,0,1
1560097782328,131,verification send,200,OK,registration-login-actions-logout 1-1,text,true,,54631,922,2,2,http://127.0.0.1:8080/verification/send,130,0,0
1560097782459,85,JDBC Request - 1 - 1,200,OK,registration-login-actions-logout 1-1,text,true,,9,0,2,2,null,85,0,78
1560097782545,1637,login GET,200,OK,registration-login-actions-logout 1-1,text,true,,54932,900,2,2,http://127.0.0.1:8080/login,1637,0,0
1560097782392,1865,register POST - 2  - 2,200,OK,registration-login-actions-logout 1-2,text,true,,56853,2098,2,2,http://127.0.0.1:8080/verification/send,1714,0,0
1560097782392,1715,register POST - 2  - 2-0,302,Found,registration-login-actions-logout 1-2,text,true,,1369,1125,2,2,http://127.0.0.1:8080/register,1714,0,0
1560097784108,149,register POST - 2  - 2-1,200,OK,registration-login-actions-logout 1-2,text,true,,55484,973,2,2,http://127.0.0.1:8080/verification/send,148,0,0
1560097784258,219,verification send,200,OK,registration-login-actions-logout 1-2,text,true,,54667,924,2,2,http://127.0.0.1:8080/verification/send,218,0,0
1560097784478,4,JDBC Request - 2 - 2,200,OK,registration-login-actions-logout 1-2,text,true,,9,0,2,2,null,4,0,0
1560097784183,385,login POST - 1 - 1,200,OK,registration-login-actions-logout 1-1,text,true,,90941,2456,2,2,http://127.0.0.1:8080/login/success,218,0,1
1560097784183,219,login POST - 1 - 1-0,302,Found,registration-login-actions-logout 1-1,text,true,,1881,1100,2,2,http://127.0.0.1:8080/login,218,0,1
1560097784403,165,login POST - 1 - 1-1,200,OK,registration-login-actions-logout 1-1,text,true,,89060,1356,2,2,http://127.0.0.1:8080/login/success,163,0,0
1560097784483,163,login GET,200,OK,registration-login-actions-logout 1-2,text,true,,54955,904,2,2,http://127.0.0.1:8080/login,162,0,0
1560097784569,172,login success - 1 - 1,200,OK,registration-login-actions-logout 1-1,text,true,,89057,1369,2,2,http://127.0.0.1:8080/login/success,171,0,0
1560097784742,241,home,200,OK,registration-login-actions-logout 1-1,text,true,,199014,1358,2,2,http://127.0.0.1:8080/,241,0,1
1560097784647,422,login POST - 2 - 2,200,OK,registration-login-actions-logout 1-2,text,true,,90985,2476,2,2,http://127.0.0.1:8080/login/success,232,0,0
